,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare
673,2011,2,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10422,190.63
674,2011,3,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10321,182.35
675,2011,4,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10209,170.98
676,2012,1,"Chicago, IL","New York City, NY (Metropolitan Area)",773,8117,171.04
677,2012,2,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10572,196.45
678,2012,3,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10418,193.67
679,2012,4,"Chicago, IL","New York City, NY (Metropolitan Area)",773,9643,199.93
680,2013,1,"Chicago, IL","New York City, NY (Metropolitan Area)",773,8084,194.72
681,2013,2,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10562,213.78
682,2013,3,"Chicago, IL","New York City, NY (Metropolitan Area)",773,10014,218.8
683,2013,4,"Chicago, IL","New York City, NY (Metropolitan Area)",773,9600,220.16
684,2011,1,"Chicago, IL","Orlando, FL",1005,3287,173.97
685,2011,2,"Chicago, IL","Orlando, FL",1005,3413,174.66
686,2011,3,"Chicago, IL","Orlando, FL",1005,2770,159.18
687,2011,4,"Chicago, IL","Orlando, FL",1005,3228,170.82
688,2012,1,"Chicago, IL","Orlando, FL",1005,3592,172.45
689,2012,2,"Chicago, IL","Orlando, FL",1005,3939,161.66
690,2012,3,"Chicago, IL","Orlando, FL",1005,3191,144.83
691,2012,4,"Chicago, IL","Orlando, FL",1005,3418,168.01
692,2013,1,"Chicago, IL","Orlando, FL",1005,3457,186.41
693,2013,2,"Chicago, IL","Orlando, FL",1005,3549,173.96
694,2013,3,"Chicago, IL","Orlando, FL",1005,2616,188.62
695,2013,4,"Chicago, IL","Orlando, FL",1005,3068,193.89
696,2011,1,"Chicago, IL","Philadelphia, PA",678,1983,193.27
697,2011,2,"Chicago, IL","Philadelphia, PA",678,2508,217.81
698,2011,3,"Chicago, IL","Philadelphia, PA",678,2412,216.91
699,2011,4,"Chicago, IL","Philadelphia, PA",678,2371,203.46
700,2012,1,"Chicago, IL","Philadelphia, PA",678,1874,214.8
701,2012,2,"Chicago, IL","Philadelphia, PA",678,2532,226.08
702,2012,3,"Chicago, IL","Philadelphia, PA",678,2588,198.45
703,2012,4,"Chicago, IL","Philadelphia, PA",678,2530,199.71
704,2013,1,"Chicago, IL","Philadelphia, PA",678,1962,209.61
705,2013,2,"Chicago, IL","Philadelphia, PA",678,2693,216.66
706,2013,3,"Chicago, IL","Philadelphia, PA",678,2367,236.86
707,2013,4,"Chicago, IL","Philadelphia, PA",678,2217,227.53
708,2011,1,"Chicago, IL","Phoenix, AZ",1444,2642,232.17
709,2011,2,"Chicago, IL","Phoenix, AZ",1444,2489,223.69
710,2011,3,"Chicago, IL","Phoenix, AZ",1444,2216,205.75
711,2011,4,"Chicago, IL","Phoenix, AZ",1444,2562,212.43
712,2012,1,"Chicago, IL","Phoenix, AZ",1444,2536,234.43
713,2012,2,"Chicago, IL","Phoenix, AZ",1444,2334,233.79
714,2012,3,"Chicago, IL","Phoenix, AZ",1444,1989,223.87
715,2012,4,"Chicago, IL","Phoenix, AZ",1444,2568,217.01
716,2013,1,"Chicago, IL","Phoenix, AZ",1444,2861,220.79
717,2013,2,"Chicago, IL","Phoenix, AZ",1444,2537,229.01
718,2013,3,"Chicago, IL","Phoenix, AZ",1444,2013,242.17
719,2013,4,"Chicago, IL","Phoenix, AZ",1444,2942,201.91
720,2011,1,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,2580,281.41
721,2011,2,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4016,269.83
722,2011,3,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4548,250.61
723,2011,4,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4068,228.1
724,2012,1,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,3391,216.75
725,2012,2,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4179,268.99
726,2012,3,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4347,275.59
727,2012,4,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,3893,279.56
728,2013,1,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,3150,266.38
729,2013,2,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4490,275.63
730,2013,3,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4618,286.0
731,2013,4,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4240,266.53
732,2011,1,"Chicago, IL","Seattle, WA",1733,1052,244.78
733,2011,2,"Chicago, IL","Seattle, WA",1733,1665,262.19
734,2011,3,"Chicago, IL","Seattle, WA",1733,1941,260.53
735,2011,4,"Chicago, IL","Seattle, WA",1733,1515,220.99
736,2012,1,"Chicago, IL","Seattle, WA",1733,1151,226.06
737,2012,2,"Chicago, IL","Seattle, WA",1733,1695,257.2
738,2012,3,"Chicago, IL","Seattle, WA",1733,1907,266.94
739,2012,4,"Chicago, IL","Seattle, WA",1733,1547,253.85
740,2013,1,"Chicago, IL","Seattle, WA",1733,1155,243.23
741,2013,2,"Chicago, IL","Seattle, WA",1733,1832,258.37
742,2013,3,"Chicago, IL","Seattle, WA",1733,2111,269.48
743,2013,4,"Chicago, IL","Seattle, WA",1733,1590,248.48
744,2011,1,"Dallas/Fort Worth, TX","Denver, CO",651,1741,199.88
745,2011,2,"Dallas/Fort Worth, TX","Denver, CO",651,1897,180.26
746,2011,3,"Dallas/Fort Worth, TX","Denver, CO",651,2165,172.85
747,2011,4,"Dallas/Fort Worth, TX","Denver, CO",651,1918,196.18
748,2012,1,"Dallas/Fort Worth, TX","Denver, CO",651,1825,194.46
749,2012,2,"Dallas/Fort Worth, TX","Denver, CO",651,1998,176.42
750,2012,3,"Dallas/Fort Worth, TX","Denver, CO",651,2212,154.44
751,2012,4,"Dallas/Fort Worth, TX","Denver, CO",651,2129,149.81
752,2013,1,"Dallas/Fort Worth, TX","Denver, CO",651,2288,152.27
753,2013,2,"Dallas/Fort Worth, TX","Denver, CO",651,2249,150.49
754,2013,3,"Dallas/Fort Worth, TX","Denver, CO",651,2389,165.07
755,2013,4,"Dallas/Fort Worth, TX","Denver, CO",651,2287,161.15
756,2011,1,"Dallas/Fort Worth, TX","Detroit, MI",987,723,246.1
757,2011,2,"Dallas/Fort Worth, TX","Detroit, MI",987,851,253.69
758,2011,3,"Dallas/Fort Worth, TX","Detroit, MI",986,835,255.07
759,2011,4,"Dallas/Fort Worth, TX","Detroit, MI",986,856,258.64
760,2012,1,"Dallas/Fort Worth, TX","Detroit, MI",986,721,283.41
761,2012,2,"Dallas/Fort Worth, TX","Detroit, MI",986,812,295.52
762,2012,3,"Dallas/Fort Worth, TX","Detroit, MI",986,1016,251.51
763,2012,4,"Dallas/Fort Worth, TX","Detroit, MI",986,990,232.5
764,2013,1,"Dallas/Fort Worth, TX","Detroit, MI",986,950,213.22
765,2013,2,"Dallas/Fort Worth, TX","Detroit, MI",986,1098,235.57
766,2013,3,"Dallas/Fort Worth, TX","Detroit, MI",986,1144,234.94
767,2013,4,"Dallas/Fort Worth, TX","Detroit, MI",986,1073,231.64
768,2011,1,"Dallas/Fort Worth, TX","Houston, TX",247,3229,148.67
769,2011,2,"Dallas/Fort Worth, TX","Houston, TX",247,3324,158.05
770,2011,3,"Dallas/Fort Worth, TX","Houston, TX",247,3150,156.04
771,2011,4,"Dallas/Fort Worth, TX","Houston, TX",247,3157,164.9
772,2012,1,"Dallas/Fort Worth, TX","Houston, TX",247,3333,153.27
773,2012,2,"Dallas/Fort Worth, TX","Houston, TX",247,3450,152.49
774,2012,3,"Dallas/Fort Worth, TX","Houston, TX",247,3051,155.98
775,2012,4,"Dallas/Fort Worth, TX","Houston, TX",247,3109,154.68
776,2013,1,"Dallas/Fort Worth, TX","Houston, TX",247,3147,157.66
777,2013,2,"Dallas/Fort Worth, TX","Houston, TX",247,3180,161.9
778,2013,3,"Dallas/Fort Worth, TX","Houston, TX",247,2890,169.57
779,2013,4,"Dallas/Fort Worth, TX","Houston, TX",247,3101,155.94
780,2011,1,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,1770,226.26
781,2011,2,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2226,194.08
782,2011,3,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2516,163.56
783,2011,4,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2273,180.95
784,2012,1,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2190,188.48
785,2012,2,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2132,199.76
786,2012,3,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2071,182.86
787,2012,4,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2140,180.52
788,2013,1,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2099,193.15
789,2013,2,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2284,188.0
790,2013,3,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2141,186.29
791,2013,4,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,2042,195.63
792,2011,1,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3664,228.08
793,2011,2,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4678,196.51
794,2011,3,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4408,207.79
795,2011,4,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4503,206.72
796,2012,1,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3887,205.52
797,2012,2,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4243,239.14
798,2012,3,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4198,225.24
799,2012,4,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3963,230.1
800,2013,1,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3590,241.83
801,2013,2,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4181,234.26
802,2013,3,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4168,229.77
803,2013,4,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,4319,227.02
804,2011,1,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1324,240.29
805,2011,2,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1609,207.45
806,2011,3,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1571,175.48
807,2011,4,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1641,189.21
808,2012,1,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1559,217.93
809,2012,2,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1587,228.41
810,2012,3,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1481,191.67
811,2012,4,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1486,207.51
812,2013,1,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1524,226.65
813,2013,2,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1644,211.4
814,2013,3,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1518,206.78
815,2013,4,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1534,215.59
816,2011,1,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,905,206.85
817,2011,2,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1175,204.56
818,2011,3,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1111,211.85
819,2011,4,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,921,252.21
820,2012,1,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,816,282.85
821,2012,2,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1033,262.92
822,2012,3,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1042,241.48
823,2012,4,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,990,223.08
824,2013,1,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,934,221.94
825,2013,2,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1276,202.14
826,2013,3,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1238,215.61
827,2013,4,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1137,221.55
828,2011,1,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3080,357.9
829,2011,2,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3747,348.01
830,2011,3,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3496,334.15
831,2011,4,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3484,362.68
832,2012,1,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,2857,401.68
833,2012,2,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3731,358.19
834,2012,3,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3498,335.85
835,2012,4,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3751,309.85
836,2013,1,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3395,315.71
837,2013,2,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3939,319.99
838,2013,3,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3593,326.37
839,2013,4,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,4122,290.91
840,2011,1,"Dallas/Fort Worth, TX","Orlando, FL",984,1702,191.24
841,2011,2,"Dallas/Fort Worth, TX","Orlando, FL",984,1858,196.58
842,2011,3,"Dallas/Fort Worth, TX","Orlando, FL",985,1718,171.14
843,2011,4,"Dallas/Fort Worth, TX","Orlando, FL",985,1536,201.71
844,2012,1,"Dallas/Fort Worth, TX","Orlando, FL",985,1455,228.78
845,2012,2,"Dallas/Fort Worth, TX","Orlando, FL",985,1631,214.86
846,2012,3,"Dallas/Fort Worth, TX","Orlando, FL",985,1382,201.51
847,2012,4,"Dallas/Fort Worth, TX","Orlando, FL",985,1452,213.51
848,2013,1,"Dallas/Fort Worth, TX","Orlando, FL",985,1552,215.98
849,2013,2,"Dallas/Fort Worth, TX","Orlando, FL",985,1856,192.2
850,2013,3,"Dallas/Fort Worth, TX","Orlando, FL",985,1610,186.92
851,2013,4,"Dallas/Fort Worth, TX","Orlando, FL",985,1558,202.48
852,2011,1,"Dallas/Fort Worth, TX","Philadelphia, PA",1302,1080,257.36
853,2011,2,"Dallas/Fort Worth, TX","Philadelphia, PA",1302,1249,253.57
854,2011,3,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1154,252.41
855,2011,4,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1163,268.04
856,2012,1,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1014,280.74
857,2012,2,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1194,283.28
858,2012,3,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1183,256.41
859,2012,4,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1264,237.84
860,2013,1,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1078,268.18
861,2013,2,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1493,237.01
862,2013,3,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1524,212.15
863,2013,4,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1502,214.96
864,2011,1,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1476,224.61
865,2011,2,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1373,218.12
866,2011,3,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1163,214.81
867,2011,4,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1390,221.09
868,2012,1,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1482,220.53
869,2012,2,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1435,205.66
870,2012,3,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1184,208.24
871,2012,4,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1451,213.99
872,2013,1,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1451,216.42
873,2013,2,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1428,232.06
874,2013,3,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1209,231.15
875,2013,4,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1712,211.75
876,2011,1,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,1994,233.86
877,2011,2,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2696,207.5
878,2011,3,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2751,210.75
879,2011,4,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2701,205.5
880,2012,1,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2307,207.28
881,2012,2,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2598,247.83
882,2012,3,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2574,236.22
883,2012,4,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2408,243.84
884,2013,1,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2092,246.49
885,2013,2,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2642,246.71
886,2013,3,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2698,241.05
887,2013,4,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,2538,240.12
888,2011,1,"Dallas/Fort Worth, TX","Seattle, WA",1670,886,249.49
889,2011,2,"Dallas/Fort Worth, TX","Seattle, WA",1670,1293,236.32
890,2011,3,"Dallas/Fort Worth, TX","Seattle, WA",1670,1392,249.4
891,2011,4,"Dallas/Fort Worth, TX","Seattle, WA",1670,1097,240.73
892,2012,1,"Dallas/Fort Worth, TX","Seattle, WA",1670,916,250.03
893,2012,2,"Dallas/Fort Worth, TX","Seattle, WA",1670,1221,260.99
894,2012,3,"Dallas/Fort Worth, TX","Seattle, WA",1670,1359,260.93
895,2012,4,"Dallas/Fort Worth, TX","Seattle, WA",1670,1082,249.84
896,2013,1,"Dallas/Fort Worth, TX","Seattle, WA",1670,1028,242.32
897,2013,2,"Dallas/Fort Worth, TX","Seattle, WA",1670,1310,249.3
898,2013,3,"Dallas/Fort Worth, TX","Seattle, WA",1670,1503,253.94
899,2013,4,"Dallas/Fort Worth, TX","Seattle, WA",1670,1165,239.8
900,2011,1,"Denver, CO","Detroit, MI",1123,803,169.52
901,2011,2,"Denver, CO","Detroit, MI",1123,960,178.86
902,2011,3,"Denver, CO","Detroit, MI",1123,1123,183.15
903,2011,4,"Denver, CO","Detroit, MI",1123,943,197.55
904,2012,1,"Denver, CO","Detroit, MI",1123,747,187.7
905,2012,2,"Denver, CO","Detroit, MI",1123,889,194.53
906,2012,3,"Denver, CO","Detroit, MI",1123,1027,193.85
907,2012,4,"Denver, CO","Detroit, MI",1123,932,197.82
908,2013,1,"Denver, CO","Detroit, MI",1123,844,177.65
909,2013,2,"Denver, CO","Detroit, MI",1123,1007,177.14
910,2013,3,"Denver, CO","Detroit, MI",1123,1169,185.32
911,2013,4,"Denver, CO","Detroit, MI",1123,999,181.33
912,2011,1,"Denver, CO","Houston, TX",883,1867,177.67
913,2011,2,"Denver, CO","Houston, TX",883,1855,176.04
914,2011,3,"Denver, CO","Houston, TX",883,2077,177.18
915,2011,4,"Denver, CO","Houston, TX",883,1985,181.6
916,2012,1,"Denver, CO","Houston, TX",883,1817,194.13
917,2012,2,"Denver, CO","Houston, TX",883,1849,204.26
918,2012,3,"Denver, CO","Houston, TX",883,1951,215.06
919,2012,4,"Denver, CO","Houston, TX",883,1859,214.82
920,2013,1,"Denver, CO","Houston, TX",883,1991,216.53
921,2013,2,"Denver, CO","Houston, TX",883,2015,201.02
922,2013,3,"Denver, CO","Houston, TX",883,2131,208.54
923,2013,4,"Denver, CO","Houston, TX",883,2136,201.51
924,2011,1,"Denver, CO","Las Vegas, NV",629,2430,129.41
925,2011,2,"Denver, CO","Las Vegas, NV",629,2518,131.94
926,2011,3,"Denver, CO","Las Vegas, NV",628,2458,121.42
927,2011,4,"Denver, CO","Las Vegas, NV",628,2362,130.42
928,2012,1,"Denver, CO","Las Vegas, NV",628,2364,137.04
929,2012,2,"Denver, CO","Las Vegas, NV",628,2402,134.37
930,2012,3,"Denver, CO","Las Vegas, NV",628,2286,123.86
931,2012,4,"Denver, CO","Las Vegas, NV",628,2378,125.45
932,2013,1,"Denver, CO","Las Vegas, NV",628,2587,128.67
933,2013,2,"Denver, CO","Las Vegas, NV",628,2676,129.33
934,2013,3,"Denver, CO","Las Vegas, NV",628,2312,130.51
935,2013,4,"Denver, CO","Las Vegas, NV",628,2371,135.0
936,2011,1,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4162,145.4
937,2011,2,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4793,145.96
938,2011,3,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4774,158.71
939,2011,4,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4646,161.52
940,2012,1,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4055,154.21
941,2012,2,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4611,163.93
942,2012,3,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4718,165.58
943,2012,4,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4379,172.05
944,2013,1,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4034,169.86
945,2013,2,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4716,171.68
946,2013,3,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4784,173.75
947,2013,4,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4671,163.57
948,2011,1,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1350,214.14
949,2011,2,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1113,205.35
950,2011,3,"Denver, CO","Miami, FL (Metropolitan Area)",1709,909,208.62
951,2011,4,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1130,222.61
952,2012,1,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1332,220.38
953,2012,2,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1148,204.76
954,2012,3,"Denver, CO","Miami, FL (Metropolitan Area)",1709,972,189.46
955,2012,4,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1279,203.88
956,2013,1,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1480,216.61
957,2013,2,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1246,193.81
958,2013,3,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1066,191.49
959,2013,4,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1285,217.0
960,2011,1,"Denver, CO","Minneapolis/St. Paul, MN",680,1468,143.13
961,2011,2,"Denver, CO","Minneapolis/St. Paul, MN",680,1802,137.14
962,2011,3,"Denver, CO","Minneapolis/St. Paul, MN",680,2114,138.75
963,2011,4,"Denver, CO","Minneapolis/St. Paul, MN",680,1778,148.73
964,2012,1,"Denver, CO","Minneapolis/St. Paul, MN",680,1467,141.84
965,2012,2,"Denver, CO","Minneapolis/St. Paul, MN",680,1825,143.49
966,2012,3,"Denver, CO","Minneapolis/St. Paul, MN",680,2105,143.71
967,2012,4,"Denver, CO","Minneapolis/St. Paul, MN",680,1756,139.6
968,2013,1,"Denver, CO","Minneapolis/St. Paul, MN",680,1673,139.18
969,2013,2,"Denver, CO","Minneapolis/St. Paul, MN",680,1975,139.38
970,2013,3,"Denver, CO","Minneapolis/St. Paul, MN",680,2155,148.35
971,2013,4,"Denver, CO","Minneapolis/St. Paul, MN",680,1870,139.62
972,2011,1,"Denver, CO","New York City, NY (Metropolitan Area)",1659,2365,254.36
973,2011,2,"Denver, CO","New York City, NY (Metropolitan Area)",1659,2862,251.92
974,2011,3,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3267,256.25
975,2011,4,"Denver, CO","New York City, NY (Metropolitan Area)",1659,2851,234.97
976,2012,1,"Denver, CO","New York City, NY (Metropolitan Area)",1659,2514,219.56
977,2012,2,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3138,220.29
978,2012,3,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3690,210.77
979,2012,4,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3143,213.06
980,2013,1,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3059,211.38
981,2013,2,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3410,213.05
982,2013,3,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3666,243.14
983,2013,4,"Denver, CO","New York City, NY (Metropolitan Area)",1659,3283,224.7
984,2011,1,"Denver, CO","Orlando, FL",1546,1347,204.81
985,2011,2,"Denver, CO","Orlando, FL",1546,1270,207.39
986,2011,3,"Denver, CO","Orlando, FL",1546,1020,205.83
987,2011,4,"Denver, CO","Orlando, FL",1546,1202,214.75
988,2012,1,"Denver, CO","Orlando, FL",1546,1285,221.22
989,2012,2,"Denver, CO","Orlando, FL",1546,1226,222.07
990,2012,3,"Denver, CO","Orlando, FL",1546,1063,196.35
991,2012,4,"Denver, CO","Orlando, FL",1546,1384,201.23
992,2013,1,"Denver, CO","Orlando, FL",1546,1446,215.72
993,2013,2,"Denver, CO","Orlando, FL",1546,1337,215.17
994,2013,3,"Denver, CO","Orlando, FL",1546,1125,209.2
995,2013,4,"Denver, CO","Orlando, FL",1546,1365,220.32
996,2011,1,"Denver, CO","Philadelphia, PA",1557,850,228.99
997,2011,2,"Denver, CO","Philadelphia, PA",1557,1059,236.08
998,2011,3,"Denver, CO","Philadelphia, PA",1558,1213,238.07
999,2011,4,"Denver, CO","Philadelphia, PA",1558,1048,215.43
1000,2012,1,"Denver, CO","Philadelphia, PA",1558,864,218.11
1001,2012,2,"Denver, CO","Philadelphia, PA",1558,1036,234.04
1002,2012,3,"Denver, CO","Philadelphia, PA",1558,1236,221.06
1003,2012,4,"Denver, CO","Philadelphia, PA",1558,1078,209.31
1004,2013,1,"Denver, CO","Philadelphia, PA",1558,919,227.4
1005,2013,2,"Denver, CO","Philadelphia, PA",1558,1059,243.66
1006,2013,3,"Denver, CO","Philadelphia, PA",1558,1096,259.03
1007,2013,4,"Denver, CO","Philadelphia, PA",1558,898,255.2
1008,2011,1,"Denver, CO","Phoenix, AZ",602,3042,133.06
1009,2011,2,"Denver, CO","Phoenix, AZ",602,2653,125.78
1010,2011,3,"Denver, CO","Phoenix, AZ",602,2415,118.34
1011,2011,4,"Denver, CO","Phoenix, AZ",602,2833,132.55
1012,2012,1,"Denver, CO","Phoenix, AZ",602,3002,137.49
1013,2012,2,"Denver, CO","Phoenix, AZ",602,2442,145.74
1014,2012,3,"Denver, CO","Phoenix, AZ",602,2024,143.37
1015,2012,4,"Denver, CO","Phoenix, AZ",602,2520,138.73
1016,2013,1,"Denver, CO","Phoenix, AZ",602,3186,122.36
